cohort_month,month_number,customers,cohort_size,retention_pct
2009-12-01,0,955,955,100.0
2009-12-01,19,248,955,26.0
2009-12-01,14,233,955,24.4
2009-12-01,15,289,955,30.3
2009-12-01,16,251,955,26.3
2009-12-01,18,270,955,28.3
2009-12-01,24,188,955,19.7
2009-12-01,20,244,955,25.5
2009-12-01,22,291,955,30.5
2009-12-01,23,389,955,40.7
2009-12-01,17,289,955,30.3
2009-12-01,13,270,955,28.3
2009-12-01,21,301,955,31.5
2009-12-01,11,473,955,49.5
2009-12-01,4,363,955,38.0
2009-12-01,10,403,955,42.2
2009-12-01,9,346,955,36.2
2009-12-01,8,321,955,33.6
2009-12-01,7,327,955,34.2
2009-12-01,6,360,955,37.7
2009-12-01,5,343,955,35.9
2009-12-01,3,406,955,42.5
2009-12-01,2,319,955,33.4
2009-12-01,12,359,955,37.6
2009-12-01,1,337,955,35.3
2010-01-01,23,22,383,5.7
2010-01-01,16,90,383,23.5
2010-01-01,18,71,383,18.5
2010-01-01,14,72,383,18.8
2010-01-01,15,58,383,15.1
2010-01-01,17,76,383,19.8
2010-01-01,13,68,383,17.8
2010-01-01,19,75,383,19.6
2010-01-01,21,74,383,19.3
2010-01-01,22,94,383,24.5
2010-01-01,12,85,383,22.2
2010-01-01,20,93,383,24.3
2010-01-01,10,116,383,30.3
2010-01-01,11,66,383,17.2
2010-01-01,6,99,383,25.8
2010-01-01,9,122,383,31.9
2010-01-01,8,107,383,27.9
2010-01-01,7,88,383,23.0
2010-01-01,1,79,383,20.6
2010-01-01,5,115,383,30.0
2010-01-01,3,117,383,30.5
2010-01-01,2,119,383,31.1
2010-01-01,0,383,383,100.0
2010-01-01,4,101,383,26.4
2010-02-01,10,43,374,11.5
2010-02-01,14,46,374,12.3
2010-02-01,22,22,374,5.9
2010-02-01,12,57,374,15.2
2010-02-01,21,61,374,16.3
2010-02-01,20,86,374,23.0
2010-02-01,19,86,374,23.0
2010-02-01,18,54,374,14.4
2010-02-01,17,61,374,16.3
2010-02-01,16,60,374,16.0
2010-02-01,15,75,374,20.1
2010-02-01,8,95,374,25.4
2010-02-01,7,107,374,28.6
2010-02-01,6,72,374,19.3
2010-02-01,5,75,374,20.1
2010-02-01,4,92,374,24.6
2010-02-01,3,109,374,29.1
2010-02-01,2,84,374,22.5
2010-02-01,1,89,374,23.8
2010-02-01,0,374,374,100.0
2010-02-01,9,103,374,27.5
2010-02-01,11,47,374,12.6
2010-02-01,13,65,374,17.4
2010-03-01,21,35,443,7.9
2010-03-01,20,94,443,21.2
2010-03-01,19,89,443,20.1
2010-03-01,18,78,443,17.6
2010-03-01,11,63,443,14.2
2010-03-01,16,77,443,17.4
2010-03-01,15,75,443,16.9
2010-03-01,14,89,443,20.1
2010-03-01,13,72,443,16.3
2010-03-01,12,89,443,20.1
2010-03-01,17,69,443,15.6
2010-03-01,4,103,443,23.3
2010-03-01,9,48,443,10.8
2010-03-01,0,443,443,100.0
2010-03-01,1,84,443,19.0
2010-03-01,2,102,443,23.0
2010-03-01,3,107,443,24.2
2010-03-01,10,51,443,11.5
2010-03-01,5,90,443,20.3
2010-03-01,6,109,443,24.6
2010-03-01,7,134,443,30.2
2010-03-01,8,122,443,27.5
2010-04-01,11,41,294,13.9
2010-04-01,18,53,294,18.0
2010-04-01,17,44,294,15.0
2010-04-01,10,22,294,7.5
2010-04-01,9,32,294,10.9
2010-04-01,14,46,294,15.6
2010-04-01,13,46,294,15.6
2010-04-01,12,41,294,13.9
2010-04-01,19,66,294,22.4
2010-04-01,15,46,294,15.6
2010-04-01,16,41,294,13.9
2010-04-01,0,294,294,100.0
2010-04-01,7,77,294,26.2
2010-04-01,1,57,294,19.4
2010-04-01,2,57,294,19.4
2010-04-01,20,17,294,5.8
2010-04-01,4,54,294,18.4
2010-04-01,5,66,294,22.4
2010-04-01,6,81,294,27.6
2010-04-01,8,31,294,10.5
2010-04-01,3,48,294,16.3
2010-05-01,13,39,254,15.4
2010-05-01,5,65,254,25.6
2010-05-01,12,39,254,15.4
2010-05-01,15,32,254,12.6
2010-05-01,0,254,254,100.0
2010-05-01,18,39,254,15.4
2010-05-01,19,12,254,4.7
2010-05-01,8,15,254,5.9
2010-05-01,14,25,254,9.8
2010-05-01,11,34,254,13.4
2010-05-01,6,54,254,21.3
2010-05-01,9,21,254,8.3
2010-05-01,17,42,254,16.5
2010-05-01,10,29,254,11.4
2010-05-01,1,40,254,15.7
2010-05-01,3,44,254,17.3
2010-05-01,2,43,254,16.9
2010-05-01,7,32,254,12.6
2010-05-01,4,45,254,17.7
2010-05-01,16,35,254,13.8
2010-06-01,6,34,270,12.6
2010-06-01,12,40,270,14.8
2010-06-01,18,14,270,5.2
2010-06-01,11,37,270,13.7
2010-06-01,17,55,270,20.4
2010-06-01,16,36,270,13.3
2010-06-01,15,33,270,12.2
2010-06-01,14,30,270,11.1
2010-06-01,10,29,270,10.7
2010-06-01,4,62,270,23.0
2010-06-01,8,22,270,8.1
2010-06-01,5,77,270,28.5
2010-06-01,3,55,270,20.4
2010-06-01,2,51,270,18.9
2010-06-01,1,47,270,17.4
2010-06-01,0,270,270,100.0
2010-06-01,7,24,270,8.9
2010-06-01,9,32,270,11.9
2010-06-01,13,33,270,12.2
2010-07-01,16,44,186,23.7
2010-07-01,17,15,186,8.1
2010-07-01,15,32,186,17.2
2010-07-01,14,36,186,19.4
2010-07-01,13,25,186,13.4
2010-07-01,11,27,186,14.5
2010-07-01,12,25,186,13.4
2010-07-01,10,25,186,13.4
2010-07-01,9,21,186,11.3
2010-07-01,8,27,186,14.5
2010-07-01,3,55,186,29.6
2010-07-01,0,186,186,100.0
2010-07-01,1,29,186,15.6
2010-07-01,2,34,186,18.3
2010-07-01,7,27,186,14.5
2010-07-01,4,54,186,29.0
2010-07-01,6,21,186,11.3
2010-07-01,5,26,186,14.0
2010-08-01,7,20,162,12.3
2010-08-01,16,11,162,6.8
2010-08-01,15,32,162,19.8
2010-08-01,14,29,162,17.9
2010-08-01,13,30,162,18.5
2010-08-01,12,25,162,15.4
2010-08-01,11,20,162,12.3
2010-08-01,10,21,162,13.0
2010-08-01,6,16,162,9.9
2010-08-01,5,19,162,11.7
2010-08-01,4,28,162,17.3
2010-08-01,3,52,162,32.1
2010-08-01,2,48,162,29.6
2010-08-01,1,33,162,20.4
2010-08-01,0,162,162,100.0
2010-08-01,8,22,162,13.6
2010-08-01,9,21,162,13.0
2010-09-01,10,28,243,11.5
2010-09-01,12,53,243,21.8
2010-09-01,9,32,243,13.2
2010-09-01,15,13,243,5.3
2010-09-01,13,40,243,16.5
